from_airport,from_city,from_country,from_long,from_lat,to_airport,to_city,to_country,to_long,to_lat,airline,airline_country,distance
Tuguegarao Airport,Tuguegarao,Philippines,122.217,18.063,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,379
Busuanga,Busuanga,Philippines,120.166,12.202,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,308
Busuanga,Busuanga,Philippines,120.166,12.202,Puerto Princesa,Puerto Princesa,Philippines,119.264,10.236,Air Philippines,Philippines,239
Naga Airport,Naga,Philippines,123.45,13.974,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,277
Zamboanga Intl,Zamboanga,Philippines,122.099,7.537,Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Air Philippines,Philippines,432
Zamboanga Intl,Zamboanga,Philippines,122.099,7.537,Francisco Bangoy International,Davao,Philippines,126.076,7.209,Air Philippines,Philippines,440
Zamboanga Intl,Zamboanga,Philippines,122.099,7.537,Jolo Airport,Jolo Airport,Philippines,121.018,6.089,Air Philippines,Philippines,200
Zamboanga Intl,Zamboanga,Philippines,122.099,7.537,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,821
Mosnov,Ostrava,Czech Republic,18.185,50.16,Ruzyne,Prague,Czech Republic,14.433,50.168,JobAir,Czech Republic,267
Mosnov,Ostrava,Czech Republic,18.185,50.16,Schwechat,Vienna,Austria,16.949,48.183,JobAir,Czech Republic,237
Lawica,Poznan,Poland,17.377,52.701,Ruzyne,Prague,Czech Republic,14.433,50.168,JobAir,Czech Republic,347
Ruzyne,Prague,Czech Republic,14.433,50.168,Mosnov,Ostrava,Czech Republic,18.185,50.16,JobAir,Czech Republic,267
Ruzyne,Prague,Czech Republic,14.433,50.168,Lawica,Poznan,Poland,17.377,52.701,JobAir,Czech Republic,347
Schwechat,Vienna,Austria,16.949,48.183,Mosnov,Ostrava,Czech Republic,18.185,50.16,JobAir,Czech Republic,237
Southeast Iowa Regional Airport,Burlington,United States,-90.543,41.305,Chicago Ohare Intl,Chicago,United States,-87.842,42.631,Air Choice One,United States,267
Southeast Iowa Regional Airport,Burlington,United States,-90.543,41.305,Lambert St Louis Intl,St. Louis,United States,-89.951,39.247,Air Choice One,United States,234
Decatur,Decatur,United States,-88.777,40.39,Chicago Ohare Intl,Chicago,United States,-87.842,42.631,Air Choice One,United States,260
Decatur,Decatur,United States,-88.777,40.39,Lambert St Louis Intl,St. Louis,United States,-89.951,39.247,Air Choice One,United States,161
Chicago Ohare Intl,Chicago,United States,-87.842,42.631,Southeast Iowa Regional Airport,Burlington,United States,-90.543,41.305,Air Choice One,United States,267
Chicago Ohare Intl,Chicago,United States,-87.842,42.631,Decatur,Decatur,United States,-88.777,40.39,Air Choice One,United States,260
Lambert St Louis Intl,St. Louis,United States,-89.951,39.247,Southeast Iowa Regional Airport,Burlington,United States,-90.543,41.305,Air Choice One,United States,234
Lambert St Louis Intl,St. Louis,United States,-89.951,39.247,Decatur,Decatur,United States,-88.777,40.39,Air Choice One,United States,161
Craig Seaplane Base,Craig,United States,-132.58,55.798,Hollis Seaplane Base,Hollis,United States,-132.411,55.802,Fly Colombia ( Interliging Flights ),Colombia,10
Craig Seaplane Base,Craig,United States,-132.58,55.798,Ketchikan Intl,Ketchikan,United States,-131.523,55.592,Fly Colombia ( Interliging Flights ),Colombia,70
Hollis Seaplane Base,Hollis,United States,-132.411,55.802,Craig Seaplane Base,Craig,United States,-132.58,55.798,Fly Colombia ( Interliging Flights ),Colombia,10
Hollis Seaplane Base,Hollis,United States,-132.411,55.802,Ketchikan Intl,Ketchikan,United States,-131.523,55.592,Fly Colombia ( Interliging Flights ),Colombia,60
Thorne Bay Seaplane Base,Thorne Bay,United States,-132.228,56.146,Ketchikan Intl,Ketchikan,United States,-131.523,55.592,Fly Colombia ( Interliging Flights ),Colombia,75
Ketchikan Intl,Ketchikan,United States,-131.523,55.592,Craig Seaplane Base,Craig,United States,-132.58,55.798,Fly Colombia ( Interliging Flights ),Colombia,70
Ketchikan Intl,Ketchikan,United States,-131.523,55.592,Hollis Seaplane Base,Hollis,United States,-132.411,55.802,Fly Colombia ( Interliging Flights ),Colombia,60
Ketchikan Intl,Ketchikan,United States,-131.523,55.592,Thorne Bay Seaplane Base,Thorne Bay,United States,-132.228,56.146,Fly Colombia ( Interliging Flights ),Colombia,75
Ketchikan Intl,Ketchikan,United States,-131.523,55.592,Metlakatla Seaplane Base,Metakatla,United States,-131.297,55.218,Fly Colombia ( Interliging Flights ),Colombia,43
Metlakatla Seaplane Base,Metakatla,United States,-131.297,55.218,Ketchikan Intl,Ketchikan,United States,-131.523,55.592,Fly Colombia ( Interliging Flights ),Colombia,43
Auckland Intl,Auckland,New Zealand,175.319,-36.347,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,8396
Suvarnabhumi Intl,Bangkok,Thailand,101.245,14.135,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,1445
Baiyun Intl,Guangzhou,China,113.497,23.654,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,2632
Meilan,Haikou,China,110.764,20.558,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,2211
Noibai Intl,Hanoi,Vietnam,106.345,21.368,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,2207
Xiaoshan,Hangzhou,China,120.724,30.382,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,3622
Hong Kong Intl,Hong Kong,Hong Kong,114.524,22.514,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,2559
Phuket Intl,Phuket,Thailand,98.528,8.188,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,1000
Kansai,Osaka,Japan,135.406,34.724,Taoyuan Intl,Taipei,Taiwan,121.388,25.129,Jetstar Asia Airways,Singapore,1718
Kuala Lumpur Intl,Kuala Lumpur,Malaysia,102.183,3.242,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,331
Macau Intl,Macau,Macau,113.985,22.249,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,2509
Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,2325
Lishe,Ninbo,China,121.769,30.377,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,3675
Penang Intl,Penang,Malaysia,100.461,5.495,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,637
Perth Intl,Perth,Australia,116.611,-31.901,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,3930
Phnom Penh Intl,Phnom-penh,Cambodia,105.406,11.91,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,1151
Siem Reap,Siem-reap,Cambodia,104.354,13.684,Phnom Penh Intl,Phnom-penh,Cambodia,105.406,11.91,Jetstar Asia Airways,Singapore,227
Yangon Intl,Yangon,Burma,96.222,17.512,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,1996
Tansonnhat Intl,Ho Chi Minh City,Vietnam,107.086,11.364,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,1120
Changi Intl,Singapore,Singapore,104.657,1.583,Auckland Intl,Auckland,New Zealand,175.319,-36.347,Jetstar Asia Airways,Singapore,8396
Changi Intl,Singapore,Singapore,104.657,1.583,Suvarnabhumi Intl,Bangkok,Thailand,101.245,14.135,Jetstar Asia Airways,Singapore,1445
Changi Intl,Singapore,Singapore,104.657,1.583,Baiyun Intl,Guangzhou,China,113.497,23.654,Jetstar Asia Airways,Singapore,2632
Changi Intl,Singapore,Singapore,104.657,1.583,Meilan,Haikou,China,110.764,20.558,Jetstar Asia Airways,Singapore,2211
Changi Intl,Singapore,Singapore,104.657,1.583,Noibai Intl,Hanoi,Vietnam,106.345,21.368,Jetstar Asia Airways,Singapore,2207
Changi Intl,Singapore,Singapore,104.657,1.583,Xiaoshan,Hangzhou,China,120.724,30.382,Jetstar Asia Airways,Singapore,3622
Changi Intl,Singapore,Singapore,104.657,1.583,Hong Kong Intl,Hong Kong,Hong Kong,114.524,22.514,Jetstar Asia Airways,Singapore,2559
Changi Intl,Singapore,Singapore,104.657,1.583,Phuket Intl,Phuket,Thailand,98.528,8.188,Jetstar Asia Airways,Singapore,1000
Changi Intl,Singapore,Singapore,104.657,1.583,Kuala Lumpur Intl,Kuala Lumpur,Malaysia,102.183,3.242,Jetstar Asia Airways,Singapore,331
Changi Intl,Singapore,Singapore,104.657,1.583,Macau Intl,Macau,Macau,113.985,22.249,Jetstar Asia Airways,Singapore,2509
Changi Intl,Singapore,Singapore,104.657,1.583,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Jetstar Asia Airways,Singapore,2325
Changi Intl,Singapore,Singapore,104.657,1.583,Lishe,Ninbo,China,121.769,30.377,Jetstar Asia Airways,Singapore,3675
Changi Intl,Singapore,Singapore,104.657,1.583,Penang Intl,Penang,Malaysia,100.461,5.495,Jetstar Asia Airways,Singapore,637
Changi Intl,Singapore,Singapore,104.657,1.583,Perth Intl,Perth,Australia,116.611,-31.901,Jetstar Asia Airways,Singapore,3930
Changi Intl,Singapore,Singapore,104.657,1.583,Phnom Penh Intl,Phnom-penh,Cambodia,105.406,11.91,Jetstar Asia Airways,Singapore,1151
Changi Intl,Singapore,Singapore,104.657,1.583,Siem Reap,Siem-reap,Cambodia,104.354,13.684,Jetstar Asia Airways,Singapore,1345
Changi Intl,Singapore,Singapore,104.657,1.583,Yangon Intl,Yangon,Burma,96.222,17.512,Jetstar Asia Airways,Singapore,1996
Changi Intl,Singapore,Singapore,104.657,1.583,Tansonnhat Intl,Ho Chi Minh City,Vietnam,107.086,11.364,Jetstar Asia Airways,Singapore,1120
Changi Intl,Singapore,Singapore,104.657,1.583,Wai Sha Airport,Shantou,China,117.138,23.666,Jetstar Asia Airways,Singapore,2799
Changi Intl,Singapore,Singapore,104.657,1.583,Taoyuan Intl,Taipei,Taiwan,121.388,25.129,Jetstar Asia Airways,Singapore,3174
Wai Sha Airport,Shantou,China,117.138,23.666,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,2799
Taoyuan Intl,Taipei,Taiwan,121.388,25.129,Kansai,Osaka,Japan,135.406,34.724,Jetstar Asia Airways,Singapore,1718
Taoyuan Intl,Taipei,Taiwan,121.388,25.129,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,3174
Dusseldorf,Duesseldorf,Germany,7.277,51.482,Friedrichshafen,Friedrichshafen,Germany,9.852,48.118,Intersky,Austria,417
Friedrichshafen,Friedrichshafen,Germany,9.852,48.118,Dusseldorf,Duesseldorf,Germany,7.277,51.482,Intersky,Austria,417
Friedrichshafen,Friedrichshafen,Germany,9.852,48.118,Graz,Graz,Austria,15.732,47.651,Intersky,Austria,441
Friedrichshafen,Friedrichshafen,Germany,9.852,48.118,Hamburg,Hamburg,Germany,10.647,54.05,Intersky,Austria,661
Friedrichshafen,Friedrichshafen,Germany,9.852,48.118,Tegel,Berlin,Germany,13.479,52.932,Intersky,Austria,593
Friedrichshafen,Friedrichshafen,Germany,9.852,48.118,Schwechat,Vienna,Austria,16.949,48.183,Intersky,Austria,526
Graz,Graz,Austria,15.732,47.651,Friedrichshafen,Friedrichshafen,Germany,9.852,48.118,Intersky,Austria,441
Hamburg,Hamburg,Germany,10.647,54.05,Friedrichshafen,Friedrichshafen,Germany,9.852,48.118,Intersky,Austria,661
Tegel,Berlin,Germany,13.479,52.932,Friedrichshafen,Friedrichshafen,Germany,9.852,48.118,Intersky,Austria,593
Schwechat,Vienna,Austria,16.949,48.183,Friedrichshafen,Friedrichshafen,Germany,9.852,48.118,Intersky,Austria,526
Schiphol,Amsterdam,Netherlands,5.273,52.514,El Aroui Airport,El Aroui Airport,Morocco,-2.381,35.648,Air Arabia Maroc,Morocco,1969
Schiphol,Amsterdam,Netherlands,5.273,52.514,Ibn Batouta,Tanger,Morocco,-5.862,36.211,Air Arabia Maroc,Morocco,2011
Barcelona,Barcelona,Spain,2.13,41.495,Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Air Arabia Maroc,Morocco,1207
Barcelona,Barcelona,Spain,2.13,41.495,El Aroui Airport,El Aroui Airport,Morocco,-2.381,35.648,Air Arabia Maroc,Morocco,759
Barcelona,Barcelona,Spain,2.13,41.495,Ibn Batouta,Tanger,Morocco,-5.862,36.211,Air Arabia Maroc,Morocco,907
Bergamo Orio Al Serio,Bergamo,Italy,10.173,46.123,Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Air Arabia Maroc,Morocco,2031
Brussels Natl,Brussels,Belgium,4.807,51.502,Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Air Arabia Maroc,Morocco,2216
Brussels Natl,Brussels,Belgium,4.807,51.502,El Aroui Airport,El Aroui Airport,Morocco,-2.381,35.648,Air Arabia Maroc,Morocco,1853
Brussels Natl,Brussels,Belgium,4.807,51.502,Ibn Batouta,Tanger,Morocco,-5.862,36.211,Air Arabia Maroc,Morocco,1898
Koln Bonn,Cologne,Germany,7.237,51.443,El Aroui Airport,El Aroui Airport,Morocco,-2.381,35.648,Air Arabia Maroc,Morocco,1915
Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Barcelona,Barcelona,Spain,2.13,41.495,Air Arabia Maroc,Morocco,1207
Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Bergamo Orio Al Serio,Bergamo,Italy,10.173,46.123,Air Arabia Maroc,Morocco,2031
Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Brussels Natl,Brussels,Belgium,4.807,51.502,Air Arabia Maroc,Morocco,2216
Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Levaldigi,Levaldigi,Italy,8.038,44.911,Air Arabia Maroc,Morocco,1817
Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Saint Exupery,Lyon,France,5.151,46.21,Air Arabia Maroc,Morocco,1754
Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Mediterranee,Montpellier,France,4.605,43.96,Air Arabia Maroc,Morocco,1543
Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Sabiha Gokcen,Istanbul,Turkey,29.515,41.497,Air Arabia Maroc,Morocco,3335
Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Treviso,Treviso,Italy,12.324,46.08,Air Arabia Maroc,Morocco,2165
Levaldigi,Levaldigi,Italy,8.038,44.911,Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Air Arabia Maroc,Morocco,1817
Saint Exupery,Lyon,France,5.151,46.21,Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Air Arabia Maroc,Morocco,1754
Mediterranee,Montpellier,France,4.605,43.96,Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Air Arabia Maroc,Morocco,1543
Mediterranee,Montpellier,France,4.605,43.96,El Aroui Airport,El Aroui Airport,Morocco,-2.381,35.648,Air Arabia Maroc,Morocco,1099
Mediterranee,Montpellier,France,4.605,43.96,Ibn Batouta,Tanger,Morocco,-5.862,36.211,Air Arabia Maroc,Morocco,1237
El Aroui Airport,El Aroui Airport,Morocco,-2.381,35.648,Schiphol,Amsterdam,Netherlands,5.273,52.514,Air Arabia Maroc,Morocco,1969
El Aroui Airport,El Aroui Airport,Morocco,-2.381,35.648,Barcelona,Barcelona,Spain,2.13,41.495,Air Arabia Maroc,Morocco,759
El Aroui Airport,El Aroui Airport,Morocco,-2.381,35.648,Brussels Natl,Brussels,Belgium,4.807,51.502,Air Arabia Maroc,Morocco,1853
El Aroui Airport,El Aroui Airport,Morocco,-2.381,35.648,Koln Bonn,Cologne,Germany,7.237,51.443,Air Arabia Maroc,Morocco,1915
El Aroui Airport,El Aroui Airport,Morocco,-2.381,35.648,Mediterranee,Montpellier,France,4.605,43.96,Air Arabia Maroc,Morocco,1099
Sabiha Gokcen,Istanbul,Turkey,29.515,41.497,Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Air Arabia Maroc,Morocco,3335
Ibn Batouta,Tanger,Morocco,-5.862,36.211,Schiphol,Amsterdam,Netherlands,5.273,52.514,Air Arabia Maroc,Morocco,2011
Ibn Batouta,Tanger,Morocco,-5.862,36.211,Barcelona,Barcelona,Spain,2.13,41.495,Air Arabia Maroc,Morocco,907
Ibn Batouta,Tanger,Morocco,-5.862,36.211,Brussels Natl,Brussels,Belgium,4.807,51.502,Air Arabia Maroc,Morocco,1898
Ibn Batouta,Tanger,Morocco,-5.862,36.211,Mediterranee,Montpellier,France,4.605,43.96,Air Arabia Maroc,Morocco,1237
Treviso,Treviso,Italy,12.324,46.08,Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Air Arabia Maroc,Morocco,2165
Reina Beatrix Intl,Oranjestad,Aruba,-69.359,12.835,Flamingo,Kralendijk,Netherlands Antilles,-67.781,12.218,Tiara Air,Aruba,184
Reina Beatrix Intl,Oranjestad,Aruba,-69.359,12.835,Hato,Willemstad,Netherlands Antilles,-68.934,12.314,Tiara Air,Aruba,74
Reina Beatrix Intl,Oranjestad,Aruba,-69.359,12.835,Almirante Padilla,Rio Hacha,Colombia,-72.877,11.877,Tiara Air,Aruba,396
Flamingo,Kralendijk,Netherlands Antilles,-67.781,12.218,Reina Beatrix Intl,Oranjestad,Aruba,-69.359,12.835,Tiara Air,Aruba,184
Hato,Willemstad,Netherlands Antilles,-68.934,12.314,Reina Beatrix Intl,Oranjestad,Aruba,-69.359,12.835,Tiara Air,Aruba,74
Almirante Padilla,Rio Hacha,Colombia,-72.877,11.877,Reina Beatrix Intl,Oranjestad,Aruba,-69.359,12.835,Tiara Air,Aruba,396
Andizhan Airport,Andizhan,Uzbekistan,72.49,41.212,Domododevo,Moscow,Russia,38.51,55.681,Moskovia Airlines,Russia,2933
Bukhara,Bukhara,Uzbekistan,64.805,40.291,Domododevo,Moscow,Russia,38.51,55.681,Moskovia Airlines,Russia,2571
Domododevo,Moscow,Russia,38.51,55.681,Andizhan Airport,Andizhan,Uzbekistan,72.49,41.212,Moskovia Airlines,Russia,2933
Domododevo,Moscow,Russia,38.51,55.681,Bukhara,Bukhara,Uzbekistan,64.805,40.291,Moskovia Airlines,Russia,2571
Domododevo,Moscow,Russia,38.51,55.681,Fergana Airport,Fergana,Uzbekistan,72.241,40.598,Moskovia Airlines,Russia,2967
Domododevo,Moscow,Russia,38.51,55.681,Karshi Khanabad Airport,Khanabad,Uzbekistan,66.535,39.389,Moskovia Airlines,Russia,2742
Domododevo,Moscow,Russia,38.51,55.681,Ganja Airport,Ganja,Azerbaijan,46.529,41.229,Moskovia Airlines,Russia,1709
Domododevo,Moscow,Russia,38.51,55.681,Namangan Airport,Namangan,Uzbekistan,71.927,41.641,Moskovia Airlines,Russia,2866
Domododevo,Moscow,Russia,38.51,55.681,Samarkand,Samarkand,Uzbekistan,67.639,40.167,Moskovia Airlines,Russia,2737
Domododevo,Moscow,Russia,38.51,55.681,Tivat,Tivat,Montenegro,19.205,42.674,Moskovia Airlines,Russia,2001
Domododevo,Moscow,Russia,38.51,55.681,Termez Airport,Termez,Uzbekistan,67.516,37.477,Moskovia Airlines,Russia,2962
Fergana Airport,Fergana,Uzbekistan,72.241,40.598,Domododevo,Moscow,Russia,38.51,55.681,Moskovia Airlines,Russia,2967
Karshi Khanabad Airport,Khanabad,Uzbekistan,66.535,39.389,Domododevo,Moscow,Russia,38.51,55.681,Moskovia Airlines,Russia,2742
Ganja Airport,Ganja,Azerbaijan,46.529,41.229,Domododevo,Moscow,Russia,38.51,55.681,Moskovia Airlines,Russia,1709
Namangan Airport,Namangan,Uzbekistan,71.927,41.641,Domododevo,Moscow,Russia,38.51,55.681,Moskovia Airlines,Russia,2866
Samarkand,Samarkand,Uzbekistan,67.639,40.167,Domododevo,Moscow,Russia,38.51,55.681,Moskovia Airlines,Russia,2737
Tivat,Tivat,Montenegro,19.205,42.674,Domododevo,Moscow,Russia,38.51,55.681,Moskovia Airlines,Russia,2001
Termez Airport,Termez,Uzbekistan,67.516,37.477,Domododevo,Moscow,Russia,38.51,55.681,Moskovia Airlines,Russia,2962
Le Lamentin,Fort-de-france,Martinique,-60.339,14.985,Le Raizet,Pointe-a-pitre,Guadeloupe,-61.22,16.442,Air Antilles Express,Guadeloupe,187
Le Lamentin,Fort-de-france,Martinique,-60.339,14.985,George F L Charles,Castries,Saint Lucia,-60.989,14.033,Air Antilles Express,Guadeloupe,126
Toussaint Louverture Intl,Port-au-prince,Haiti,-71.821,18.966,Las Americas Intl,Santo Domingo,Dominican Republic,-69.449,18.716,Air Antilles Express,Guadeloupe,251
Le Raizet,Pointe-a-pitre,Guadeloupe,-61.22,16.442,Le Lamentin,Fort-de-france,Martinique,-60.339,14.985,Air Antilles Express,Guadeloupe,187
Le Raizet,Pointe-a-pitre,Guadeloupe,-61.22,16.442,Saint Barthelemy,Gustavia,France,-62.721,18.503,Air Antilles Express,Guadeloupe,279
Le Raizet,Pointe-a-pitre,Guadeloupe,-61.22,16.442,Las Americas Intl,Santo Domingo,Dominican Republic,-69.449,18.716,Air Antilles Express,Guadeloupe,908
Le Raizet,Pointe-a-pitre,Guadeloupe,-61.22,16.442,Grand Case,St. Martin,Guadeloupe,-62.412,18.166,Air Antilles Express,Guadeloupe,229
Saint Barthelemy,Gustavia,France,-62.721,18.503,Le Raizet,Pointe-a-pitre,Guadeloupe,-61.22,16.442,Air Antilles Express,Guadeloupe,279
Las Americas Intl,Santo Domingo,Dominican Republic,-69.449,18.716,Toussaint Louverture Intl,Port-au-prince,Haiti,-71.821,18.966,Air Antilles Express,Guadeloupe,251
Las Americas Intl,Santo Domingo,Dominican Republic,-69.449,18.716,Le Raizet,Pointe-a-pitre,Guadeloupe,-61.22,16.442,Air Antilles Express,Guadeloupe,908
Grand Case,St. Martin,Guadeloupe,-62.412,18.166,Le Raizet,Pointe-a-pitre,Guadeloupe,-61.22,16.442,Air Antilles Express,Guadeloupe,229
George F L Charles,Castries,Saint Lucia,-60.989,14.033,Le Lamentin,Fort-de-france,Martinique,-60.339,14.985,Air Antilles Express,Guadeloupe,126
Baiyun Intl,Guangzhou,China,113.497,23.654,Jiangbei,Chongqing,China,107.069,30.198,Sichuan Airlines,China,966
Baiyun Intl,Guangzhou,China,113.497,23.654,Shuangliu,Chengdu,China,104.578,30.964,Sichuan Airlines,China,1197
Baiyun Intl,Guangzhou,China,113.497,23.654,Francisco C Ada Saipan Intl,Saipan,Northern Mariana Islands,146.215,15.198,Sichuan Airlines,China,3548
Soekarno Hatta Intl,Jakarta,Indonesia,107.093,-5.543,Wuxu,Nanning,China,108.287,23.013,Sichuan Airlines,China,3177
Xinzheng,Zhengzhou,China,114.401,34.866,Changchun,Changchun,China,125.2,43.902,Sichuan Airlines,China,1365
Xinzheng,Zhengzhou,China,114.401,34.866,Shuangliu,Chengdu,China,104.578,30.964,Sichuan Airlines,China,1013
Xinzheng,Zhengzhou,China,114.401,34.866,Baita Airport,Huhhot,China,112.373,41.419,Sichuan Airlines,China,749
Xinzheng,Zhengzhou,China,114.401,34.866,Taiping,Harbin,China,126.417,46.039,Sichuan Airlines,China,1601
Xinzheng,Zhengzhou,China,114.401,34.866,Wujiaba,Kunming,China,103.239,25.653,Sichuan Airlines,China,1480
Changchun,Changchun,China,125.2,43.902,Xinzheng,Zhengzhou,China,114.401,34.866,Sichuan Airlines,China,1365
Changchun,Changchun,China,125.2,43.902,Jinan,Jinan,China,117.359,37.428,Sichuan Airlines,China,976
Changchun,Changchun,China,125.2,43.902,Binhai,Tianjin,China,117.576,39.207,Sichuan Airlines,China,820
Chifeng Airport,Chifeng,China,119.513,42.391,Baita Airport,Huhhot,China,112.373,41.419,Sichuan Airlines,China,600
Jiangbei,Chongqing,China,107.069,30.198,Baiyun Intl,Guangzhou,China,113.497,23.654,Sichuan Airlines,China,966
Jiangbei,Chongqing,China,107.069,30.198,Huanghua,Changcha,China,113.366,28.315,Sichuan Airlines,China,645
Jiangbei,Chongqing,China,107.069,30.198,Changzhou,Changzhou,China,120.186,32.569,Sichuan Airlines,China,1271
Jiangbei,Chongqing,China,107.069,30.198,Zhoushuizi,Dalian,China,121.897,39.609,Sichuan Airlines,China,1705
Jiangbei,Chongqing,China,107.069,30.198,Xiaoshan,Hangzhou,China,120.724,30.382,Sichuan Airlines,China,1310
Jiangbei,Chongqing,China,107.069,30.198,Phuket Intl,Phuket,Thailand,98.528,8.188,Sichuan Airlines,China,2603
Jiangbei,Chongqing,China,107.069,30.198,Yinchuan,Yinchuan,China,106.015,38.803,Sichuan Airlines,China,961
Jiangbei,Chongqing,China,107.069,30.198,Changbei Intl,Nanchang,China,116.5,29.441,Sichuan Airlines,China,913
Jiangbei,Chongqing,China,107.069,30.198,Wujiaba,Kunming,China,103.239,25.653,Sichuan Airlines,China,629
Jiangbei,Chongqing,China,107.069,30.198,Lhasa-Gonggar,Lhasa,China,91.519,29.496,Sichuan Airlines,China,1500
Jiangbei,Chongqing,China,107.069,30.198,Lishe,Ninbo,China,121.769,30.377,Sichuan Airlines,China,1410
Jiangbei,Chongqing,China,107.069,30.198,Lukou,Nanjing,China,119.436,32.236,Sichuan Airlines,China,1196
Jiangbei,Chongqing,China,107.069,30.198,Capital Intl,Beijing,China,116.974,40.133,Sichuan Airlines,China,1423
Jiangbei,Chongqing,China,107.069,30.198,Pudong,Shanghai,China,122.342,31.238,Sichuan Airlines,China,1463
Jiangbei,Chongqing,China,107.069,30.198,Phoenix International,Sanya,China,109.687,18.504,Sichuan Airlines,China,1326
Jiangbei,Chongqing,China,107.069,30.198,Baoan Intl,Shenzhen,China,114.351,23.065,Sichuan Airlines,China,1073
Jiangbei,Chongqing,China,107.069,30.198,Jinan,Jinan,China,117.359,37.428,Sichuan Airlines,China,1243
Jiangbei,Chongqing,China,107.069,30.198,Sungshan,Taipei,Taiwan,121.92,25.116,Sichuan Airlines,China,1566
Jiangbei,Chongqing,China,107.069,30.198,Binhai,Tianjin,China,117.576,39.207,Sichuan Airlines,China,1385
Jiangbei,Chongqing,China,107.069,30.198,Diwopu,Urumqi,China,87.79,44.511,Sichuan Airlines,China,2320
Jiangbei,Chongqing,China,107.069,30.198,Wenzhou Yongqiang Airport,Wenzhou,China,121.42,28.52,Sichuan Airlines,China,1402
Jiangbei,Chongqing,China,107.069,30.198,Tianhe,Wuhan,China,114.346,31.306,Sichuan Airlines,China,706
Jiangbei,Chongqing,China,107.069,30.198,Xianyang,Xi'an,China,109.252,34.745,Sichuan Airlines,China,545
Jiangbei,Chongqing,China,107.069,30.198,Gaoqi,Xiamen,China,118.212,24.906,Sichuan Airlines,China,1245
Jiangbei,Chongqing,China,107.069,30.198,Xining Caojiabu Airport,Xining,China,102.071,36.879,Sichuan Airlines,China,875
Jiangbei,Chongqing,China,107.069,30.198,Yichang Airport,Yichang,China,111.735,31.118,Sichuan Airlines,China,457
Huanghua,Changcha,China,113.366,28.315,Jiangbei,Chongqing,China,107.069,30.198,Sichuan Airlines,China,645
Huanghua,Changcha,China,113.366,28.315,Shuangliu,Chengdu,China,104.578,30.964,Sichuan Airlines,China,898
Huanghua,Changcha,China,113.366,28.315,Changle,Fuzhou,China,120.105,26.558,Sichuan Airlines,China,693
Huanghua,Changcha,China,113.366,28.315,Gaoqi,Xiamen,China,118.212,24.906,Sichuan Airlines,China,612
