HOPX	ADNP	-0.531999956822421	0.531999956822421
REPIN1	ADNP	-0.50631356540188	0.50631356540188
RIOK2	ADNP	-0.699214066455067	0.699214066455067
ZNF322A	ADNP	-0.540776005200618	0.540776005200618
ELF2	ATOH7	-0.721004646444168	0.721004646444168
FOSL2	ATOH7	-0.503457853533198	0.503457853533198
TBX10	BNC2	-0.541675764200333	0.541675764200333
KLF3	CAMTA2	-0.601153105717154	0.601153105717154
PATZ1	CAMTA2	-0.72077514930152	0.72077514930152
ZNF22	CAMTA2	-0.805266826523754	0.805266826523754
ZNF570	CAMTA2	-0.529747789112003	0.529747789112003
ELF2	CREB3L1	-0.604757313697835	0.604757313697835
IRF9	CREB3L1	-0.611281389882423	0.611281389882423
MYBL1	CREB3L1	-0.511417636543775	0.511417636543775
NFKB1	CREB3L1	-0.508205074331499	0.508205074331499
RIOK2	CREB3L1	-0.686181502124072	0.686181502124072
SMARCA5	CREB3L1	-0.50474711308589	0.50474711308589
SUZ12	CREB3L1	-0.645214498901076	0.645214498901076
ZFPM2	CREB3L1	-0.542096197593253	0.542096197593253
RIOK2	CSDC2	-0.53753967033181	0.53753967033181
GATAD1	DLX1	-0.587879352523887	0.587879352523887
NFAT5	DLX1	-0.518672927214743	0.518672927214743
ZNF449	E4F1	-0.566372257741445	0.566372257741445
ZNF583	E4F1	-0.550130912187324	0.550130912187324
NOC3L	EBF4	-0.51858425329665	0.51858425329665
RIOK2	EBF4	-0.599899573738888	0.599899573738888
POLE4	ELF2	-0.532438554180872	0.532438554180872
SKI	ELF2	-0.639885014693073	0.639885014693073
TFCP2	ELF2	-0.530260735636991	0.530260735636991
ZNF583	ELF2	-0.546604868477165	0.546604868477165
ZNF639	ELF2	-0.697440440095037	0.697440440095037
THAP10	ETV1	-0.576681497347322	0.576681497347322
RIOK2	FGD1	-0.509663448413499	0.509663448413499
KLF3	FOXP4	-0.523803613205548	0.523803613205548
TFCP2	FOXP4	-0.535885911594367	0.535885911594367
ZNF449	FOXP4	-0.568754472104939	0.568754472104939
ZNF583	FOXP4	-0.531662203061445	0.531662203061445
GTF2E2	GATAD1	-0.512055847998752	0.512055847998752
SOX6	GATAD1	-0.534731958732864	0.534731958732864
TFCP2	GATAD1	-0.50517505129627	0.50517505129627
ZNF449	GATAD1	-0.56434238279878	0.56434238279878
ZNF506	GATAD1	-0.57197410003613	0.57197410003613
ZNF583	GATAD1	-0.543359720476947	0.543359720476947
PSMD11	GPR123	-0.610123684611092	0.610123684611092
THAP10	GTF2E2	-0.586624631188589	0.586624631188589
PATZ1	HEYL	-0.511891697608558	0.511891697608558
ZNF22	HEYL	-0.568737815896186	0.568737815896186
ZNF43	HEYL	-0.500092794485766	0.500092794485766
TIGD7	HKR1	-0.845917085177669	0.845917085177669
ZNF22	HOXC8	-0.683852311734763	0.683852311734763
MBNL2	JAZF1	-0.543716426667348	0.543716426667348
ZNF605	JRKL	-0.550052202638202	0.550052202638202
NOC3L	KLF13	-0.508277295808297	0.508277295808297
REPIN1	KLF13	-0.573062373859499	0.573062373859499
RIOK2	KLF13	-0.754748955797933	0.754748955797933
RNF114	KLF13	-0.509339938387733	0.509339938387733
TFAP4	KLF13	-0.52059118586909	0.52059118586909
ZNF322A	KLF13	-0.547795467319369	0.547795467319369
NFAT5	KLF3	-0.649102318503521	0.649102318503521
STAT6	KLF3	-0.597093420918951	0.597093420918951
REPIN1	LARP6	-0.535891718832884	0.535891718832884
ZNF322A	LARP6	-0.514301316430045	0.514301316430045
RIOK2	MAF	-0.612234593251258	0.612234593251258
RIOK2	MYBL1	0.579637837231792	0.579637837231792
SKI	MYBL1	-0.50136013995397	0.50136013995397
ZNF605	MYBL1	-0.602314157781885	0.602314157781885
ZNF639	MYBL1	-0.512559522467242	0.512559522467242
POLE4	NFAT5	-0.569655228695287	0.569655228695287
ZNF583	NFAT5	-0.51055858857412	0.51055858857412
ZNF639	NFAT5	-0.599752375856229	0.599752375856229
TFCP2	NFIC	-0.647494542800921	0.647494542800921
ZNF449	NFIC	-0.553755172807986	0.553755172807986
ZNF583	NFIC	-0.55682927264875	0.55682927264875
RIOK2	NFKB1	0.533767847775396	0.533767847775396
ZNF605	NFKB1	-0.587246815340978	0.587246815340978
ZNF346	NOC3L	-0.561449658614191	0.561449658614191
ZNF605	NOC3L	-0.690219679862375	0.690219679862375
RAPGEF4	PATZ1	-0.58439747868448	0.58439747868448
ZNF22	PATZ1	0.508082587809214	0.508082587809214
ZNF385B	POLE4	-0.630215699193232	0.630215699193232
ZNF550	POLE4	-0.600808132661433	0.600808132661433
SSRP1	POLR2L	-0.989110786011134	0.989110786011134
THAP10	PRR3	-0.537492246837244	0.537492246837244
ZNF22	RAPGEF4	-0.63182512815321	0.63182512815321
TFCP2	REPIN1	-0.709142630577638	0.709142630577638
ZNF449	REPIN1	-0.613132789403265	0.613132789403265
ZNF583	REPIN1	-0.583835518530438	0.583835518530438
SP8	RIOK2	-0.507358077192807	0.507358077192807
ZNF346	RIOK2	-0.775654749032704	0.775654749032704
ZNF605	RIOK2	-1	1
ZNF639	RIOK2	-0.537445213150062	0.537445213150062
TFCP2	RNF114	-0.506212625856761	0.506212625856761
SUZ12	SKI	-0.587233860291427	0.587233860291427
ZNF385B	SMAD9	-0.550240470780822	0.550240470780822
SOX9	SMARCA5	-0.527561553025796	0.527561553025796
ZNF605	SMARCA5	-0.560838159819271	0.560838159819271
TFCP2	STAT2	-0.553287323844961	0.553287323844961
ZNF449	STAT2	-0.571916720319375	0.571916720319375
